condition,trial,host_write_us,host_recv_us,dev_rise_us,n_events,overflow
idle,261,7534351.340,7535795.193,8627464,1,false
idle,262,7554973.838,7556220.291,8648108,1,false
idle,263,7575339.337,7576732.602,8668416,1,false
idle,264,7595970.869,7597725.840,8689068,1,false
idle,265,7616142.965,7618167.090,8709180,1,false
idle,266,7636522.492,7638738.343,8729544,1,false
idle,267,7656980.963,7658871.136,8750004,1,false
idle,268,7677056.086,7679572.778,8770032,1,false
idle,269,7697758.134,7699587.179,8790712,1,false
idle,270,7718798.844,7720161.551,8811736,1,false
idle,271,7739345.921,7740558.800,8832264,1,false
idle,272,7759727.767,7761005.618,8852620,1,false
idle,273,7780188.260,7781517.715,8873068,1,false
idle,274,7800721.340,7802032.196,8893576,1,false
idle,275,7821180.930,7822577.548,8914024,1,false
idle,276,7842039.487,7847194.480,8934856,1,false
idle,277,7862685.321,7867752.865,8955484,1,false
idle,278,7882957.082,7887890.680,8975788,1,false
idle,279,7902998.091,7904387.299,8995764,1,false
idle,280,7923542.893,7924893.752,9016276,1,false
idle,281,7944086.507,7945458.109,9036808,1,false
idle,282,7964626.411,7965866.643,9057332,1,false
idle,283,7985121.203,7986492.479,9077796,1,false
idle,284,8006078.447,8010985.941,9098728,1,false
idle,285,8026130.946,8027636.761,9118768,1,false
idle,286,8047136.755,8052133.551,9139752,1,false
idle,287,8067627.440,8072845.431,9160228,1,false
idle,288,8088228.286,8092924.628,9180808,1,false
idle,289,8109239.375,8113455.592,9201792,1,false
idle,290,8129656.404,8133983.167,9222192,1,false
idle,291,8150200.768,8154752.950,9242712,1,false
idle,292,8171356.215,8175420.107,9263848,1,false
idle,293,8191672.696,8195222.456,9284144,1,false
idle,294,8212400.618,8215818.820,9304856,1,false
idle,295,8233005.410,8236212.583,9325440,1,false
idle,296,8253415.025,8256667.212,9345828,1,false
idle,297,8273852.441,8277193.526,9366248,1,false
idle,298,8294360.440,8297829.504,9386728,1,false
idle,299,8315012.054,8318356.406,9407364,1,false
idle,300,8335594.508,8338565.146,9427928,1,false
idle,301,8355742.492,8359003.568,9448060,1,false
idle,302,8376156.961,8379510.550,9468448,1,false
idle,303,8396731.268,8400086.626,9489000,1,false
idle,304,8417345.988,8420664.506,9509600,1,false
idle,305,8437854.405,8441021.760,9530080,1,false
idle,306,8458232.393,8461544.802,9550444,1,false
idle,307,8478737.437,8481986.371,9570928,1,false
idle,308,8499221.902,8502473.227,9591400,1,false
idle,309,8519714.538,8522772.793,9611872,1,false
idle,310,8539935.963,8543385.290,9632144,1,false
idle,311,8560540.294,8563866.532,9652648,1,false
idle,312,8581062.592,8584284.671,9673156,1,false
idle,313,8601482.231,8604844.822,9693556,1,false
idle,314,8622042.666,8625294.875,9714100,1,false
idle,315,8642492.179,8645671.832,9734532,1,false
idle,316,8662844.774,8666226.706,9754860,1,false
idle,317,8683344.363,8686827.891,9775340,1,false
idle,318,8704064.901,8707250.814,9796036,1,false
idle,319,8724444.469,8727744.857,9816396,1,false
idle,320,8744935.188,8748220.772,9836948,1,false
idle,321,8765415.249,8768555.163,9857324,1,false
idle,322,8785733.395,8789073.149,9877624,1,false
idle,323,8806225.989,8809487.030,9898096,1,false
idle,324,8826630.099,8829972.586,9918484,1,false
idle,325,8847124.938,8850454.981,9938964,1,false
idle,326,8867595.836,8870931.783,9959408,1,false
idle,327,8888091.286,8891422.833,9979888,1,false
idle,328,8908707.857,8912013.757,10000484,1,false
idle,329,8929169.069,8932439.625,10020916,1,false
idle,330,8949584.102,8952934.575,10041320,1,false
idle,331,8970109.779,8973323.884,10061832,1,false
idle,332,8990484.143,8993812.767,10082176,1,false
idle,333,9011107.618,9014296.750,10102776,1,false
idle,334,9031470.651,9034767.010,10123120,1,false
idle,335,9051957.178,9055349.936,10143636,1,false
idle,336,9072496.667,9075814.167,10164112,1,false
idle,337,9092992.146,9096508.594,10184600,1,false
idle,338,9113739.834,9116966.734,10205304,1,false
idle,339,9134172.069,9137746.236,10225724,1,false
idle,340,9155037.091,9158228.236,10246572,1,false
idle,341,9175682.448,9178482.947,10267192,1,false
idle,342,9196702.794,9198690.396,10288192,1,false
idle,343,9216854.612,9219151.266,10308324,1,false
idle,344,9237356.525,9239789.654,10328804,1,false
idle,345,9257974.400,9260218.394,10349440,1,false
idle,346,9278643.313,9280981.290,10370064,1,false
idle,347,9299503.754,9301230.735,10390836,1,false
idle,348,9319494.769,9322086.208,10410864,1,false
idle,349,9340333.616,9342226.716,10431676,1,false
idle,350,9360493.864,9363419.492,10451828,1,false
idle,351,9380826.131,9383447.511,10472140,1,false
idle,352,9401685.070,9404058.922,10492976,1,false
idle,353,9422487.718,9424229.253,10513756,1,false
idle,354,9442691.338,9444568.866,10533944,1,false
idle,355,9462709.969,9465115.711,10553940,1,false
idle,356,9483361.603,9485654.504,10574576,1,false
idle,357,9503845.694,9506066.064,10595032,1,false
idle,358,9524260.309,9526478.750,10615436,1,false
idle,359,9544667.352,9547011.114,10635816,1,false
idle,360,9565189.021,9567452.311,10656316,1,false
idle,361,9585621.263,9587885.649,10676740,1,false
idle,362,9606049.866,9608344.769,10697144,1,false
idle,363,9626489.235,9628830.137,10717560,1,false
idle,364,9646989.103,9649309.625,10738052,1,false
idle,365,9667451.919,9669724.233,10758484,1,false
idle,366,9687893.066,9690289.991,10778904,1,false
idle,367,9708463.682,9710587.156,10799456,1,false
idle,368,9728761.209,9731083.350,10819728,1,false
idle,369,9749234.026,9751625.416,10840180,1,false
idle,370,9769781.939,9772158.482,10860708,1,false
idle,371,9790367.473,9792859.286,10881284,1,false
idle,372,9811135.280,9813242.474,10902028,1,false
idle,373,9831429.390,9833706.778,10922304,1,false
idle,374,9852149.080,9854244.438,10943004,1,false
idle,375,9872440.867,9874664.455,10963268,1,false
idle,376,9893213.545,9895131.105,10984020,1,false
idle,377,9913264.189,9915903.273,11004056,1,false
idle,378,9934127.729,9936102.709,11024892,1,false
idle,379,9954298.147,9956567.223,11045044,1,false
idle,380,9974754.804,9977042.802,11065484,1,false
idle,381,9995243.941,9997534.218,11085952,1,false
idle,382,10015710.151,10017981.985,11106400,1,false
idle,383,10036151.934,10038391.455,11126820,1,false
idle,384,10056572.392,10058809.583,11147228,1,false
idle,385,10076985.407,10079300.346,11167628,1,false
idle,386,10097476.651,10099679.119,11188088,1,false
idle,387,10117840.531,10120160.433,11208432,1,false
idle,388,10138364.532,10140677.941,11228904,1,false
idle,389,10158851.737,10161120.227,11249400,1,false
idle,390,10179302.241,10181591.756,11269836,1,false
idle,391,10199778.292,10202066.551,11290292,1,false
idle,392,10220258.172,10222721.147,11310748,1,false
idle,393,10240923.678,10243195.810,11331392,1,false
idle,394,10261419.417,10263746.747,11351868,1,false
idle,395,10281937.348,10284152.761,11372428,1,false
idle,396,10302452.273,10304642.241,11392804,1,false
idle,397,10322825.417,10325025.887,11413220,1,false
idle,398,10343211.030,10345531.653,11433584,1,false
idle,399,10363698.591,10366042.837,11454048,1,false
idle,400,10384231.652,10386529.889,11474564,1,false
idle,401,10404714.898,10406967.614,11495028,1,false
idle,402,10425141.468,10427431.925,11515432,1,false
idle,403,10445604.547,10447892.416,11535868,1,false
idle,404,10466099.361,10468454.123,11556348,1,false
idle,405,10486686.670,10489030.648,11576920,1,false
idle,406,10507247.461,10509455.304,11597460,1,false
idle,407,10527640.767,10529831.339,11617832,1,false
idle,408,10548030.021,10550428.693,11638200,1,false
idle,409,10568608.606,10570913.283,11658756,1,false
idle,410,10589118.682,10591310.937,11679248,1,false
idle,411,10609504.275,10611814.736,11699588,1,false
idle,412,10629959.473,10632232.304,11720088,1,false
idle,413,10650399.299,10652709.801,11740472,1,false
idle,414,10670893.980,10673227.256,11760948,1,false
idle,415,10691429.407,10693681.210,11781456,1,false
idle,416,10711854.689,10714189.739,11801860,1,false
idle,417,10732341.119,10734602.420,11822328,1,false
idle,418,10752756.393,10755189.072,11842724,1,false
idle,419,10773354.627,10775700.819,11863300,1,false
idle,420,10793885.151,10796188.636,11883808,1,false
idle,421,10814366.398,10816657.050,11904280,1,false
idle,422,10834823.448,10836946.782,11924716,1,false
idle,423,10855091.676,10857537.677,11944960,1,false
idle,424,10875678.776,10878002.378,11965524,1,false
idle,425,10896142.471,10898487.647,11985976,1,false
idle,426,10916646.230,10918954.360,12006460,1,false
idle,427,10937099.276,10939414.565,12026896,1,false
idle,428,10957558.272,10959886.075,12047328,1,false
idle,429,10978037.149,10980338.318,12067788,1,false
idle,430,10998482.780,11000747.641,12088212,1,false
idle,431,11018914.939,11021343.895,12108628,1,false
idle,432,11039492.334,11041821.027,12129184,1,false
idle,433,11059966.915,11062265.579,12149668,1,false
idle,434,11080391.262,11082792.437,12170044,1,false
idle,435,11100940.436,11103256.679,12190632,1,false
idle,436,11121416.746,11123761.093,12211020,1,false
idle,437,11141946.749,11144194.422,12231596,1,false
idle,438,11162349.155,11164617.065,12251912,1,false
idle,439,11182765.768,11185061.614,12272316,1,false
idle,440,11203224.705,11205620.111,12292752,1,false
idle,441,11223796.806,11226161.407,12313308,1,false
idle,442,11244364.885,11246543.563,12333856,1,false
idle,443,11264722.864,11267070.646,12354188,1,false
idle,444,11285239.748,11287480.416,12374684,1,false
idle,445,11305633.275,11307981.538,12395056,1,false
idle,446,11326146.398,11328442.523,12415556,1,false
idle,447,11346613.565,11348985.952,12436004,1,false
idle,448,11367159.693,11369480.148,12456528,1,false
idle,449,11387629.757,11389943.243,12476976,1,false
idle,450,11408144.181,11410625.619,12497476,1,false
idle,451,11428824.219,11431006.306,12518128,1,false
idle,452,11449198.735,11451539.016,12538484,1,false
idle,453,11469726.243,11471999.605,12558996,1,false
idle,454,11490163.232,11492371.768,12579408,1,false
idle,455,11510553.213,11512861.947,12599780,1,false
idle,456,11531074.882,11533463.504,12620280,1,false
idle,457,11551627.171,11553814.234,12640812,1,false
idle,458,11572017.606,11574255.318,12661188,1,false
idle,459,11592440.271,11594764.784,12681592,1,false
idle,460,11612947.246,11615263.807,12702124,1,false
idle,461,11633473.823,11635767.349,12722584,1,false
idle,462,11653945.982,11656182.058,12743088,1,false
idle,463,11674338.030,11676742.297,12763408,1,false
idle,464,11694941.703,11697201.274,12784048,1,false
idle,465,11715353.907,11717675.973,12804384,1,false
idle,466,11735881.240,11738213.580,12824892,1,false
idle,467,11756354.558,11758585.206,12845344,1,false
idle,468,11776726.042,11779052.785,12865688,1,false
idle,469,11797228.842,11799443.040,12886172,1,false
idle,470,11817587.071,11819932.963,12906516,1,false
idle,471,11838094.960,11840530.496,12927004,1,false
idle,472,11858701.379,11860980.370,12947592,1,false
idle,473,11879158.757,11881517.973,12968024,1,false
idle,474,11899684.173,11902013.114,12988536,1,false
idle,475,11920207.742,11922638.187,13009028,1,false
idle,476,11940834.926,11942959.377,13029640,1,false
idle,477,11961125.914,11963409.209,13049912,1,false
idle,478,11981574.283,11983962.115,13070344,1,false
idle,479,12002120.703,12004352.310,13090876,1,false
idle,480,12022494.706,12024854.664,13111220,1,false
idle,481,12043043.292,12045253.251,13131752,1,false
idle,482,12063415.315,12065750.342,13152100,1,false
idle,483,12083912.121,12086246.127,13172580,1,false
idle,484,12104408.985,12106748.788,13193060,1,false
idle,485,12124908.992,12127182.758,13213536,1,false
idle,486,12145347.126,12147698.001,13233956,1,false
idle,487,12165864.866,12168228.982,13254456,1,false
idle,488,12186412.777,12188696.144,13274980,1,false
idle,489,12206883.418,12209063.262,13295428,1,false
idle,490,12227212.786,12229523.861,13315740,1,false
idle,491,12247695.263,12250084.782,13336204,1,false
idle,492,12268252.214,12270559.491,13356736,1,false
idle,493,12288728.967,12291082.423,13377192,1,false
idle,494,12309252.109,12311624.642,13397696,1,false
idle,495,12329854.529,12332117.490,13418284,1,false
idle,496,12350334.782,12352575.955,13438728,1,false
idle,497,12370776.578,12373079.791,13459156,1,false
idle,498,12391266.870,12393441.819,13479636,1,false
idle,499,12411672.360,12413994.993,13500020,1,false
idle,500,12432170.032,12434460.694,13520492,1,false
idle,501,12452624.420,12454963.061,13540920,1,false
idle,502,12473116.002,12475497.543,13561408,1,false
idle,503,12493713.400,12496116.141,13581980,1,false
idle,504,12514326.548,12516513.381,13602564,1,false
idle,505,12534697.789,12536732.423,13622928,1,false
idle,506,12554938.491,12557319.234,13643208,1,false
idle,507,12575528.494,12577730.203,13663720,1,false
idle,508,12595916.469,12598301.553,13684080,1,false
idle,509,12616658.626,12618739.420,13704804,1,false
idle,510,12636910.430,12639219.392,13725048,1,false
idle,511,12657421.548,12659675.781,13745532,1,false
idle,512,12677839.863,12680177.267,13765924,1,false
idle,513,12698343.606,12700538.488,13786412,1,false
idle,514,12718710.030,12721078.393,13806756,1,false
idle,515,12739253.029,12741483.562,13827276,1,false
idle,516,12759665.068,12761977.909,13847672,1,false
idle,517,12780141.862,12782471.287,13868124,1,false
idle,518,12800652.902,12802948.868,13888616,1,false
idle,519,12821120.113,12823406.439,13909068,1,false
idle,520,12841588.454,12844000.280,13929512,1,false
idle,521,12862210.122,12864472.205,13950112,1,false
idle,522,12882650.147,12884926.313,13970532,1,false
idle,523,12903096.939,12905447.470,13990964,1,false
idle,524,12923723.798,12925955.292,14011568,1,false
idle,525,12944248.148,12946412.759,14032076,1,false
idle,526,12964603.816,12966859.508,14052412,1,false
idle,527,12985059.602,12987322.559,14072852,1,false
idle,528,13005507.525,13007895.097,14093272,1,false
idle,529,13026097.302,13028328.946,14113844,1,false
idle,530,13046529.849,13048782.944,14134252,1,false
idle,531,13066966.040,13069334.178,14154696,1,false
idle,532,13087778.577,13089755.923,14175460,1,false
idle,533,13107956.664,13110180.024,14195660,1,false
idle,534,13128350.891,13130711.880,14216000,1,false
idle,535,13148939.959,13151466.212,14236628,1,false
idle,536,13169634.279,13171662.631,14257244,1,false
idle,537,13189838.050,13192146.668,14277420,1,false
idle,538,13210322.259,13212621.079,14297868,1,false
idle,539,13230795.744,13233198.143,14318336,1,false
idle,540,13251491.142,13253677.320,14339020,1,false
idle,541,13271862.934,13274132.017,14359372,1,false
idle,542,13292428.429,13294716.641,14379908,1,false
idle,543,13312903.112,13315175.842,14400376,1,false
idle,544,13333405.189,13335537.104,14420848,1,false
idle,545,13353755.800,13355977.290,14441176,1,false
idle,546,13374240.476,13376465.163,14461652,1,false
idle,547,13394702.656,13396965.964,14482092,1,false
idle,548,13415168.351,13417435.572,14502536,1,false
idle,549,13435626.032,13437949.260,14522964,1,false
idle,550,13456174.826,13458565.470,14543500,1,false
idle,551,13476809.654,13478901.459,14564112,1,false
idle,552,13497130.673,13499421.292,14584412,1,false
idle,553,13517609.290,13519846.522,14604872,1,false
